Name of Property,Property Type,Bedrooms,Bathrooms,Amenities,Price,Possession Date,Appreciation per year,Parking,Nearby,City,Location,Landmark,Launch Date,Builder Name,Furnishing status,Total Area,Total Towers,Total Floors,Sizes (sq.ft),Price per sq.ft,Balcony,Extra rooms,Super Area (sq.ft),Carpet Area (sq.ft),Age of Property,Facing,Loan Availability,Total Lifts,Pantry,View,Fitting type,Air conditioning,Clubhouse Amenities,Project Description
Green Horizon,Apartment,2BHK,2,Swimming pool cycling path jogging track,35L-50L,15th Dec 2025,10%,Open 1,Max Hospital Delhi Public School Local Market,Panchkula,Sector 20 Panchkula,Opposite Shopping Complex,1st Jan 2022,Shobha Realty,Semi furnished,6 acres,3,10,1200,4200,2.0,Store room,1400.0,1200,Under construction,North East,Yes,1,No,Park view,Jaguar washroom fittings,Bajaj Geysers,Mini theatre family restaurant billiards table,"Luxury apartment in Panchkula offering green surroundings and proximity to shopping areas This Apartment is designed to offer a luxurious and comfortable lifestyle with 2BHK and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool cycling path jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaguar washroom fittings for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by 15th Dec 2025 and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Mini theatre family restaurant billiards table. With a carpet area of 1200 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Silver Springs,Villa,3BHK,4,Swimming pool clubhouse jogging track,1.5Cr-2Cr,30th Nov 2024,15%,Indoor 2,Fortis Hospital Jubilee Mall Local Market,Mohali,Sector 66A Mohali,Jubilee Square,12th Jan 2023,Emaar,Fully furnished,10 acres,50,2,3500,4500,3.0,Servant room pooja room,4000.0,3600,Under construction,South East,Yes,1,No,Park view,Jaquar fittings LG AC,Split AC,Indoor badminton court billiards table bowling alley family restaurant,"Luxurious villas in Sector 66A Mohali with private gardens and premium amenities This Villa is designed to offer a luxurious and comfortable lifestyle with 3BHK and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool clubhouse jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaquar fittings LG AC for added elegance. With an expected appreciation of 15% per year, it is a great investment opportunity. The project is available for possession by 30th Nov 2024 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor badminton court billiards table bowling alley family restaurant. With a carpet area of 3600 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Golden Estates,Apartment,2BHK,2,Cycling path basketball court kids play area,40L-55L,Ready to move,8%,Open 1,Max Hospital Chandigarh IT Park HP Petrol Pump,Chandigarh,Sector 77 Chandigarh,Chandigarh IT Park,15th Mar 2021,Sobha Realty,Semi furnished,5 acres,8,12,1100,5000,2.0,Store room,1200.0,1050,2 years,North,Yes,3,No,Road view,Jaguar fittings Bajaj Geysers,Split AC,Mini theatre rooftop cafe billiards table,"Luxury apartments in Sector 77 Chandigarh with ample green spaces This Apartment is designed to offer a luxurious and comfortable lifestyle with 2BHK and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Cycling path basketball court kids play area, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality Jaguar fittings Bajaj Geysers for added elegance. With an expected appreciation of 8% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Mini theatre rooftop cafe billiards table. With a carpet area of 1050 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Green Aura,Farmhouse,,3,Private garden kids play area swimming pool,2Cr-3Cr,30th Sep 2025,12%,Open 3,Fortis Hospital Jubilee Mall Chandigarh Airport,Mohali,Airport Road Mohali,Near Plaksha University,20th Dec 2022,Dmaac,Raw,15 acres,15,1,5000,6000,,Servant room,5200.0,4800,Under construction,North East,Yes,,No,Lake view,,,Rooftop cafe guest house sports bar,"Premium farmhouses on Airport Road Mohali offering a serene lifestyle This Farmhouse is designed to offer a luxurious and comfortable lifestyle with nan and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden kids play area swimming pool, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality nan for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 30th Sep 2025 and includes Open 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe guest house sports bar. With a carpet area of 4800 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Crystal Heights,Penthouse,4BHK,5,Swimming pool kids play area gymnasium,3.5Cr-4Cr,15th Dec 2024,18%,Indoor 2,Max Hospital CP67 Mall Jubilee Junction,Mohali,Sector 69 Mohali,CP67 Mall,25th Oct 2021,Emaar,Fully furnished,20 acres,6,15,4500,8500,3.0,Servant room pooja room,4800.0,4500,1 year,South West,Yes,3,No,City skyline view,LG AC Jaguar fittings,Centralised AC,Ballroom rooftop cafe billiards table family restaurant,"Luxurious penthouses in Sector 69 Mohali with a stunning skyline view This Penthouse is designed to offer a luxurious and comfortable lifestyle with 4BHK and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool kids play area gymnasium, making it an excellent choice for families and investors alike. The property boasts a stunning City skyline view and features high-quality LG AC Jaguar fittings for added elegance. With an expected appreciation of 18% per year, it is a great investment opportunity. The project is available for possession by 15th Dec 2024 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Ballroom rooftop cafe billiards table family restaurant. With a carpet area of 4500 sq. ft., this property is perfect for those seeking a premium lifestyle in South West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Park View Villas,Villa,4BHK,5,Cycling path gym clubhouse private garden,2Cr-3Cr,Ready to move,12%,Indoor 3,Fortis Hospital Jubilee Mall Airport Road,Mohali,Sector 85 Mohali,Near TDI Mall,1st Aug 2020,DLF,Fully furnished,12 acres,60,2,4000,7500,3.0,Servant room store room,4500.0,4200,3 years,East,Yes,1,No,Park view,Jaquar washroom fittings Bajaj Geysers,Split AC,Indoor badminton court billiards table mini theatre,"Spacious villas with private gardens in Sector 85 Mohali near Airport Road This Villa is designed to offer a luxurious and comfortable lifestyle with 4BHK and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Cycling path gym clubhouse private garden, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaquar washroom fittings Bajaj Geysers for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor badminton court billiards table mini theatre. With a carpet area of 4200 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Central Plaza,SOHO,,1,Power backup high-speed elevators parking,1Cr-1.5Cr,31st Dec 2024,14%,Indoor 2,Fortis Hospital TDI Mall Chandigarh Airport,Mohali,Sector 90 Mohali,Near TDI City,5th Sep 2022,Sobha Realty,Semi furnished,8 acres,3,10,1500,6500,,,1600.0,1400,Under construction,West,Yes,3,Yes,City view,LG Airconditioner Jaguar fittings,Overhead AC,Meeting rooms rooftop cafe mini theatre,"Premium SOHO spaces in Sector 90 Mohali for small businesses and startups This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Power backup high-speed elevators parking, making it an excellent choice for families and investors alike. The property boasts a stunning City view and features high-quality LG Airconditioner Jaguar fittings for added elegance. With an expected appreciation of 14% per year, it is a great investment opportunity. The project is available for possession by 31st Dec 2024 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Meeting rooms rooftop cafe mini theatre. With a carpet area of 1400 sq. ft., this property is perfect for those seeking a premium lifestyle in West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Luxury Enclave,Farmhouse,,3,Private garden swimming pool cycling path,3Cr-4Cr,30th Jun 2025,16%,Open 2,Max Hospital Panchkula Golf Club Local Market,Panchkula,Sector 30 Panchkula,Near Golf Club,22nd Feb 2023,DLF,Raw,20 acres,10,1,6000,7000,,Servant room,6200.0,5800,Under construction,South East,Yes,,No,Mountain view,,,Guest house rooftop cafe billiards table ballroom,"Exclusive farmhouses in Panchkula with scenic views and serene surroundings This Farmhouse is designed to offer a luxurious and comfortable lifestyle with nan and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden swimming pool cycling path, making it an excellent choice for families and investors alike. The property boasts a stunning Mountain view and features high-quality nan for added elegance. With an expected appreciation of 16% per year, it is a great investment opportunity. The project is available for possession by 30th Jun 2025 and includes Open 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Guest house rooftop cafe billiards table ballroom. With a carpet area of 5800 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Skyline Residences,Apartment,3BHK,3,Swimming pool jogging track kids play area,70L-1Cr,Ready to move,10%,Indoor 1,Max Hospital Jubilee Junction Local Market,Chandigarh,Sector 78 Chandigarh,Near Max Hospital,15th Oct 2020,Emaar,Semi furnished,6 acres,5,12,2000,4800,3.0,Store room,2200.0,2000,2 years,North West,Yes,2,No,Park view,Jaquar washroom fittings LG AC,Split AC,Indoor badminton court family restaurant billiards table,"Modern apartments in Sector 78 Chandigarh with excellent connectivity This Apartment is designed to offer a luxurious and comfortable lifestyle with 3BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool jogging track kids play area, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaquar washroom fittings LG AC for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor badminton court family restaurant billiards table. With a carpet area of 2000 sq. ft., this property is perfect for those seeking a premium lifestyle in North West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Aurora Towers,Office,,2,Power backup CCTV high-speed elevators,1.5Cr-2Cr,31st Oct 2024,12%,Indoor 3,Fortis Hospital CP67 Mall Chandigarh IT Park,Mohali,Sector 70 Mohali,Near Jubilee Junction,5th Nov 2022,Dmaac,Semi furnished,5 acres,4,8,2000,6200,,,2200.0,2000,Under construction,South East,Yes,5,Yes,Road view,Jaguar fittings LG AC,Split AC,Meeting rooms rooftop cafe ballroom,"Modern office spaces in Sector 70 Mohali designed for corporate needs This Office is designed to offer a luxurious and comfortable lifestyle with nan and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Power backup CCTV high-speed elevators, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality Jaguar fittings LG AC for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 31st Oct 2024 and includes Indoor 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Meeting rooms rooftop cafe ballroom. With a carpet area of 2000 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Elite Retreat,Apartment,1BHK,1,Kids play area cycling path power backup,30L-40L,15th Jan 2026,8%,Open 1,Max Hospital Local Market Jubilee Junction,Mohali,Sector 68 Mohali,Near TDI City,1st Dec 2023,Shobha Realty,Raw,4 acres,3,10,800,4000,1.0,Store room,900.0,800,Under construction,East,Yes,2,No,Road view,,,Indoor games rooftop cafe sports bar,"Budget-friendly apartments in Sector 68 Mohali with all modern amenities This Apartment is designed to offer a luxurious and comfortable lifestyle with 1BHK and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Kids play area cycling path power backup, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality nan for added elegance. With an expected appreciation of 8% per year, it is a great investment opportunity. The project is available for possession by 15th Jan 2026 and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor games rooftop cafe sports bar. With a carpet area of 800 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Horizon Greens,Penthouse,5BHK,6,Swimming pool gym jogging track,4Cr-5Cr,Ready to move,20%,Indoor 2,Fortis Hospital Chandigarh IT Park Jubilee Junction,Mohali,Sector 80 Mohali,Opposite IT Park,10th Mar 2021,Emaar,Fully furnished,15 acres,6,20,5000,9000,4.0,Servant room pooja room,5500.0,5200,1 year,North East,Yes,3,No,City skyline view,Jaquar fittings Bajaj Geysers,Centralised AC,Mini theatre family restaurant indoor games,"Luxurious penthouses in Sector 80 Mohali with premium facilities and large balconies This Penthouse is designed to offer a luxurious and comfortable lifestyle with 5BHK and 6 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool gym jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning City skyline view and features high-quality Jaquar fittings Bajaj Geysers for added elegance. With an expected appreciation of 20% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Mini theatre family restaurant indoor games. With a carpet area of 5200 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Regal Plaza,SOHO,,1,Power backup high-speed elevators parking,1Cr-1.5Cr,30th Sep 2025,14%,Indoor 2,Fortis Hospital CP67 Mall Chandigarh Airport,Chandigarh,Sector 88 Chandigarh,Near Chandigarh IT Park,22nd Jun 2023,Dmaac,Semi furnished,8 acres,3,10,1400,6700,,,1600.0,1400,Under construction,West,Yes,3,Yes,Lake view,LG Airconditioner Bajaj Geysers,Split AC,Meeting rooms rooftop cafe family restaurant,"Modern SOHO spaces in Sector 88 Chandigarh ideal for startups This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Power backup high-speed elevators parking, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality LG Airconditioner Bajaj Geysers for added elegance. With an expected appreciation of 14% per year, it is a great investment opportunity. The project is available for possession by 30th Sep 2025 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Meeting rooms rooftop cafe family restaurant. With a carpet area of 1400 sq. ft., this property is perfect for those seeking a premium lifestyle in West facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Royal Crest Villas,Villa,4BHK,5,Private garden swimming pool gym,2.5Cr-3Cr,Ready to move,14%,Indoor 2,Delhi Public School Fortis Hospital Jubilee Square,Mohali,Sector 72 Mohali,Opposite Jubilee Junction,15th Jul 2020,Emaar,Fully furnished,12 acres,50,2,4500,7500,3.0,Servant room store room,5000.0,4700,3 years,East,Yes,1,No,Park view,Jaquar washroom fittings LG AC,Split AC,Indoor badminton court mini theatre rooftop cafe,"Luxury villas in Sector 72 Mohali with premium construction quality and serene ambiance This Villa is designed to offer a luxurious and comfortable lifestyle with 4BHK and 5 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden swimming pool gym, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaquar washroom fittings LG AC for added elegance. With an expected appreciation of 14% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor badminton court mini theatre rooftop cafe. With a carpet area of 4700 sq. ft., this property is perfect for those seeking a premium lifestyle in East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
